model,scenario,accuracy,precision_weighted,recall_weighted,f1_weighted,paper_accuracy
KNN,P7C,84.74,80.64,84.74,82.03,84.34
KNN,P7U,84.52,80.36,84.52,81.78,84.10
KNN,P6C,90.87,90.33,90.87,90.43,90.50
KNN,P6U,90.63,90.03,90.63,90.17,89.65
RF,P7C,84.88,83.22,84.88,83.96,85.72
RF,P7U,84.85,83.20,84.85,83.93,85.65
RF,P6C,94.71,94.64,94.71,94.57,94.70
RF,P6U,94.65,94.59,94.65,94.51,94.69
XGB,P7C,84.51,80.28,84.51,81.33,85.67
XGB,P7U,84.30,79.98,84.30,81.16,85.70
XGB,P6C,90.65,90.19,90.65,90.19,91.21
XGB,P6U,90.20,89.63,90.20,89.69,90.79
